timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1775468321642,112,HTTP Request,200,OK,Stress Test - 500 Users 6-17,text,true,,34671,241,1,3,http://localhost/opencart/,1,0,1
1775468321642,1,HTTP Request-0,301,Moved Permanently,Stress Test - 500 Users 6-17,text,true,,620,120,1,3,http://localhost/opencart,1,0,1
1775468321643,111,HTTP Request-1,200,OK,Stress Test - 500 Users 6-17,text,true,,34051,121,1,3,http://localhost/opencart/,109,0,0
1775468321683,94,HTTP Request,200,OK,Load Test-Scenario 2 - 50 Users 4-6,text,true,,34671,241,1,3,http://localhost/opencart/,1,0,0
1775468321683,1,HTTP Request-0,301,Moved Permanently,Load Test-Scenario 2 - 50 Users 4-6,text,true,,620,120,1,3,http://localhost/opencart,1,0,0
1775468321684,93,HTTP Request-1,200,OK,Load Test-Scenario 2 - 50 Users 4-6,text,true,,34051,121,1,3,http://localhost/opencart/,92,0,0
1775468321679,125,HTTP Request,200,OK,Load Test-Scenario 1 - 10 Users 3-3,text,true,,34671,241,1,3,http://localhost/opencart/,1,0,1
1775468321679,1,HTTP Request-0,301,Moved Permanently,Load Test-Scenario 1 - 10 Users 3-3,text,true,,620,120,1,3,http://localhost/opencart,1,0,1
1775468321681,123,HTTP Request-1,200,OK,Load Test-Scenario 1 - 10 Users 3-3,text,true,,34051,121,1,3,http://localhost/opencart/,121,0,0
1775468321764,97,HTTP Request,200,OK,Stress Test - 500 Users 6-18,text,true,,34671,241,1,3,http://localhost/opencart/,0,0,0
1775468321764,0,HTTP Request-0,301,Moved Permanently,Stress Test - 500 Users 6-18,text,true,,620,120,1,3,http://localhost/opencart,0,0,0
1775468321764,97,HTTP Request-1,200,OK,Stress Test - 500 Users 6-18,text,true,,34051,121,1,3,http://localhost/opencart/,94,0,0
1775468321801,94,HTTP Request,200,OK,Load Test-Scenario 3 - 100 Users 5-8,text,true,,34671,241,1,3,http://localhost/opencart/,0,0,0
1775468321801,0,HTTP Request-0,301,Moved Permanently,Load Test-Scenario 3 - 100 Users 5-8,text,true,,620,120,1,3,http://localhost/opencart,0,0,0
1775468321802,93,HTTP Request-1,200,OK,Load Test-Scenario 3 - 100 Users 5-8,text,true,,34051,121,1,3,http://localhost/opencart/,92,0,0
1775468321831,93,HTTP Request,200,OK,Stress Test - 200 Users 2-12,text,true,,34671,241,1,2,http://localhost/opencart/,1,0,0
1775468321831,1,HTTP Request-0,301,Moved Permanently,Stress Test - 200 Users 2-12,text,true,,620,120,1,2,http://localhost/opencart,1,0,0
1775468321832,92,HTTP Request-1,200,OK,Stress Test - 200 Users 2-12,text,true,,34051,121,1,2,http://localhost/opencart/,89,0,0
1775468321883,127,HTTP Request,200,OK,Stress Test - 500 Users 6-19,text,true,,34671,241,2,2,http://localhost/opencart/,2,0,1
1775468321883,2,HTTP Request-0,301,Moved Permanently,Stress Test - 500 Users 6-19,text,true,,620,120,2,2,http://localhost/opencart,2,0,1
1775468321885,125,HTTP Request-1,200,OK,Stress Test - 500 Users 6-19,text,true,,34051,121,2,2,http://localhost/opencart/,123,0,0
1775468322002,161,HTTP Request,200,OK,Stress Test - 500 Users 6-20,text,true,,34671,241,2,5,http://localhost/opencart/,1,0,1
1775468322002,1,HTTP Request-0,301,Moved Permanently,Stress Test - 500 Users 6-20,text,true,,620,120,2,5,http://localhost/opencart,1,0,1
1775468322003,160,HTTP Request-1,200,OK,Stress Test - 500 Users 6-20,text,true,,34051,121,2,5,http://localhost/opencart/,158,0,0
1775468322031,139,HTTP Request,200,OK,Stress Test - 200 Users 2-13,text,true,,34671,241,1,4,http://localhost/opencart/,1,0,0
1775468322031,1,HTTP Request-0,301,Moved Permanently,Stress Test - 200 Users 2-13,text,true,,620,120,1,4,http://localhost/opencart,1,0,0
1775468322032,138,HTTP Request-1,200,OK,Stress Test - 200 Users 2-13,text,true,,34051,121,1,4,http://localhost/opencart/,136,0,0
1775468322082,122,HTTP Request,200,OK,Load Test-Scenario 2 - 50 Users 4-7,text,true,,34671,241,1,3,http://localhost/opencart/,1,0,0
1775468322082,1,HTTP Request-0,301,Moved Permanently,Load Test-Scenario 2 - 50 Users 4-7,text,true,,620,120,1,3,http://localhost/opencart,1,0,0
1775468322083,121,HTTP Request-1,200,OK,Load Test-Scenario 2 - 50 Users 4-7,text,true,,34051,121,1,3,http://localhost/opencart/,119,0,0
1775468322100,120,HTTP Request,200,OK,Load Test-Scenario 3 - 100 Users 5-9,text,true,,34671,241,1,2,http://localhost/opencart/,1,0,0
1775468322100,1,HTTP Request-0,301,Moved Permanently,Load Test-Scenario 3 - 100 Users 5-9,text,true,,620,120,1,2,http://localhost/opencart,1,0,0
1775468322101,119,HTTP Request-1,200,OK,Load Test-Scenario 3 - 100 Users 5-9,text,true,,34051,121,1,2,http://localhost/opencart/,117,0,0
1775468322123,128,HTTP Request,200,OK,Stress Test - 500 Users 6-21,text,true,,34671,241,2,3,http://localhost/opencart/,1,0,0
1775468322123,1,HTTP Request-0,301,Moved Permanently,Stress Test - 500 Users 6-21,text,true,,620,120,2,3,http://localhost/opencart,1,0,0
1775468322124,127,HTTP Request-1,200,OK,Stress Test - 500 Users 6-21,text,true,,34051,121,2,3,http://localhost/opencart/,125,0,0
1775468322231,114,HTTP Request,200,OK,Stress Test - 200 Users 2-14,text,true,,34671,241,1,2,http://localhost/opencart/,1,0,0
1775468322231,1,HTTP Request-0,301,Moved Permanently,Stress Test - 200 Users 2-14,text,true,,620,120,1,2,http://localhost/opencart,1,0,0
1775468322232,113,HTTP Request-1,200,OK,Stress Test - 200 Users 2-14,text,true,,34051,121,1,2,http://localhost/opencart/,112,0,0
1775468322242,121,HTTP Request,200,OK,Stress Test - 500 Users 6-22,text,true,,34671,241,2,2,http://localhost/opencart/,1,0,1
1775468322242,1,HTTP Request-0,301,Moved Permanently,Stress Test - 500 Users 6-22,text,true,,620,120,2,2,http://localhost/opencart,1,0,1
1775468322243,120,HTTP Request-1,200,OK,Stress Test - 500 Users 6-22,text,true,,34051,121,2,2,http://localhost/opencart/,117,0,0
1775468322363,124,HTTP Request,200,OK,Stress Test - 500 Users 6-23,text,true,,34671,241,2,5,http://localhost/opencart/,1,0,0
1775468322363,1,HTTP Request-0,301,Moved Permanently,Stress Test - 500 Users 6-23,text,true,,620,120,2,5,http://localhost/opencart,1,0,0
1775468322364,123,HTTP Request-1,200,OK,Stress Test - 500 Users 6-23,text,true,,34051,121,2,5,http://localhost/opencart/,121,0,0
1775468322402,102,HTTP Request,200,OK,Load Test-Scenario 3 - 100 Users 5-10,text,true,,34671,241,1,4,http://localhost/opencart/,1,0,0
1775468322402,1,HTTP Request-0,301,Moved Permanently,Load Test-Scenario 3 - 100 Users 5-10,text,true,,620,120,1,4,http://localhost/opencart,1,0,0
1775468322403,101,HTTP Request-1,200,OK,Load Test-Scenario 3 - 100 Users 5-10,text,true,,34051,121,1,4,http://localhost/opencart/,99,0,0
1775468322431,111,HTTP Request,200,OK,Stress Test - 200 Users 2-15,text,true,,34671,241,1,3,http://localhost/opencart/,0,0,0
1775468322431,0,HTTP Request-0,301,Moved Permanently,Stress Test - 200 Users 2-15,text,true,,620,120,1,3,http://localhost/opencart,0,0,0
1775468322431,111,HTTP Request-1,200,OK,Stress Test - 200 Users 2-15,text,true,,34051,121,1,3,http://localhost/opencart/,109,0,0
1775468322483,99,HTTP Request,200,OK,Stress Test - 500 Users 6-24,text,true,,34671,241,1,2,http://localhost/opencart/,1,0,0
1775468322483,1,HTTP Request-0,301,Moved Permanently,Stress Test - 500 Users 6-24,text,true,,620,120,1,2,http://localhost/opencart,1,0,0
1775468322484,98,HTTP Request-1,200,OK,Stress Test - 500 Users 6-24,text,true,,34051,121,1,2,http://localhost/opencart/,95,0,0
1775468322482,102,HTTP Request,200,OK,Load Test-Scenario 2 - 50 Users 4-8,text,true,,34671,241,1,1,http://localhost/opencart/,1,0,1
1775468322482,1,HTTP Request-0,301,Moved Permanently,Load Test-Scenario 2 - 50 Users 4-8,text,true,,620,120,1,1,http://localhost/opencart,1,0,1
1775468322484,100,HTTP Request-1,200,OK,Load Test-Scenario 2 - 50 Users 4-8,text,true,,34051,121,1,1,http://localhost/opencart/,98,0,0
1775468322603,106,HTTP Request,200,OK,Stress Test - 500 Users 6-25,text,true,,34671,241,1,4,http://localhost/opencart/,1,0,1
1775468322603,1,HTTP Request-0,301,Moved Permanently,Stress Test - 500 Users 6-25,text,true,,620,120,1,4,http://localhost/opencart,1,0,1
1775468322605,104,HTTP Request-1,200,OK,Stress Test - 500 Users 6-25,text,true,,34051,121,1,4,http://localhost/opencart/,101,0,0
